N,threads,trial,seconds,std_seconds,validate
1000,6,Average,0.044398,0.000641,OK
1000,7,1,0.039566,,OK
1000,7,2,0.039408,,OK
1000,7,3,0.038724,,OK
1000,7,4,0.038992,,OK
1000,7,5,0.038847,,OK
1000,7,6,0.037546,,OK
1000,7,7,0.038760,,OK
1000,7,8,0.038620,,OK
1000,7,9,0.037778,,OK
1000,7,10,0.037760,,OK
1000,7,Average,0.038600,0.000658,OK
1000,8,1,0.035210,,OK
1000,8,2,0.035134,,OK
1000,8,3,0.034410,,OK
1000,8,4,0.034475,,OK
1000,8,5,0.034501,,OK
1000,8,6,0.033285,,OK
1000,8,7,0.034462,,OK
1000,8,8,0.034431,,OK
1000,8,9,0.033245,,OK
1000,8,10,0.033358,,OK
1000,8,Average,0.034251,0.000682,OK
1000,9,1,0.031857,,OK
1000,9,2,0.031667,,OK
1000,9,3,0.031059,,OK
1000,9,4,0.031127,,OK
1000,9,5,0.031021,,OK
1000,9,6,0.029772,,OK
1000,9,7,0.030918,,OK
1000,9,8,0.030936,,OK
1000,9,9,0.029864,,OK
1000,9,10,0.029928,,OK
1000,9,Average,0.030815,0.000694,OK
1000,10,1,0.029188,,OK
1000,10,2,0.028973,,OK
1000,10,3,0.027955,,OK
1000,10,4,0.027831,,OK
1000,10,5,0.027841,,OK
1000,10,6,0.026584,,OK
1000,10,7,0.027852,,OK
1000,10,8,0.027766,,OK
1000,10,9,0.026562,,OK
1000,10,10,0.026600,,OK
1000,10,Average,0.027715,0.000878,OK
1500,1,1,0.747918,,OK
1500,1,2,0.753897,,OK
1500,1,3,0.755101,,OK
1500,1,4,0.758419,,OK
1500,1,5,0.744711,,OK
1500,1,6,0.750475,,OK
1500,1,7,0.749928,,OK
1500,1,8,0.754636,,OK
1500,1,9,0.759577,,OK
1500,1,10,0.751730,,OK
1500,1,Average,0.752639,0.004372,OK
1500,2,1,0.380021,,OK
1500,2,2,0.378684,,OK
1500,2,3,0.372930,,OK
1500,2,4,0.373166,,OK
1500,2,5,0.371115,,OK
1500,2,6,0.373499,,OK
1500,2,7,0.373027,,OK
1500,2,8,0.375828,,OK
1500,2,9,0.373980,,OK
1500,2,10,0.371633,,OK
1500,2,Average,0.374388,0.002775,OK
1500,3,1,0.248859,,OK
1500,3,2,0.249397,,OK
1500,3,3,0.249488,,OK
1500,3,4,0.249446,,OK
1500,3,5,0.248169,,OK
1500,3,6,0.250030,,OK
1500,3,7,0.249666,,OK
1500,3,8,0.249748,,OK
1500,3,9,0.250047,,OK
1500,3,10,0.251890,,OK
1500,3,Average,0.249674,0.000910,OK
1500,4,1,0.187719,,OK
1500,4,2,0.188448,,OK
1500,4,3,0.188417,,OK
1500,4,4,0.188192,,OK
1500,4,5,0.187135,,OK
1500,4,6,0.188604,,OK
1500,4,7,0.188349,,OK
1500,4,8,0.188495,,OK
1500,4,9,0.189016,,OK
1500,4,10,0.187819,,OK
1500,4,Average,0.188220,0.000505,OK
1500,5,1,0.150709,,OK
1500,5,2,0.151666,,OK
1500,5,3,0.151851,,OK
1500,5,4,0.151215,,OK
1500,5,5,0.150173,,OK
1500,5,6,0.151280,,OK
1500,5,7,0.151309,,OK
1500,5,8,0.151527,,OK
1500,5,9,0.151630,,OK
1500,5,10,0.150624,,OK
1500,5,Average,0.151198,0.000508,OK
1500,6,1,0.126061,,OK
1500,6,2,0.126204,,OK
1500,6,3,0.126660,,OK
1500,6,4,0.126313,,OK
1500,6,5,0.125628,,OK
1500,6,6,0.126297,,OK
1500,6,7,0.126590,,OK
1500,6,8,0.127443,,OK
1500,6,9,0.127905,,OK
1500,6,10,0.126270,,OK
1500,6,Average,0.126537,0.000637,OK
1500,7,1,0.109251,,OK
1500,7,2,0.109290,,OK
1500,7,3,0.109726,,OK
1500,7,4,0.108749,,OK
1500,7,5,0.108145,,OK
1500,7,6,0.108589,,OK
1500,7,7,0.108487,,OK
1500,7,8,0.108524,,OK
1500,7,9,0.108806,,OK
1500,7,10,0.110898,,OK
1500,7,Average,0.109046,0.000758,OK
1500,8,1,0.095136,,OK
1500,8,2,0.095467,,OK
1500,8,3,0.095150,,OK
1500,8,4,0.094965,,OK
1500,8,5,0.094640,,OK
1500,8,6,0.094955,,OK
1500,8,7,0.094935,,OK
1500,8,8,0.094896,,OK
1500,8,9,0.096458,,OK
1500,8,10,0.095116,,OK
1500,8,Average,0.095172,0.000475,OK
1500,9,1,0.084816,,OK
1500,9,2,0.084935,,OK
1500,9,3,0.084891,,OK
1500,9,4,0.084848,,OK
1500,9,5,0.084411,,OK
1500,9,6,0.084659,,OK
1500,9,7,0.084645,,OK
1500,9,8,0.084559,,OK
1500,9,9,0.085039,,OK
1500,9,10,0.084839,,OK
1500,9,Average,0.084764,0.000181,OK
1500,10,1,0.076724,,OK
1500,10,2,0.076799,,OK
1500,10,3,0.076861,,OK
1500,10,4,0.076647,,OK
1500,10,5,0.076471,,OK
1500,10,6,0.076682,,OK
1500,10,7,0.076543,,OK
1500,10,8,0.079511,,OK
1500,10,9,0.077162,,OK
1500,10,10,0.076636,,OK
1500,10,Average,0.077004,0.000855,OK
2000,1,1,1.682289,,OK
2000,1,2,1.698742,,OK
2000,1,3,1.704370,,OK
2000,1,4,1.693290,,OK
2000,1,5,1.703989,,OK
2000,1,6,1.687330,,OK
2000,1,7,1.687481,,OK
2000,1,8,1.701903,,OK
2000,1,9,1.729015,,OK
2000,1,10,1.696579,,OK
2000,1,Average,1.698499,0.012439,OK
2000,2,1,0.850521,,OK
2000,2,2,0.850172,,OK
2000,2,3,0.839768,,OK
2000,2,4,0.847023,,OK
2000,2,5,0.837949,,OK
2000,2,6,0.842236,,OK
2000,2,7,0.895781,,OK
2000,2,8,0.862303,,OK
2000,2,9,0.866502,,OK
2000,2,10,0.855227,,OK
2000,2,Average,0.854748,0.016251,OK
2000,3,1,0.581536,,OK
2000,3,2,0.569554,,OK
2000,3,3,0.567293,,OK
2000,3,4,0.576548,,OK
2000,3,5,0.565481,,OK
2000,3,6,0.569563,,OK
2000,3,7,0.576802,,OK
2000,3,8,0.565997,,OK
2000,3,9,0.567477,,OK
2000,3,10,0.567078,,OK
2000,3,Average,0.570733,0.005253,OK
2000,4,1,0.436788,,OK
2000,4,2,0.425587,,OK
2000,4,3,0.427458,,OK
2000,4,4,0.436537,,OK
2000,4,5,0.429789,,OK
2000,4,6,0.429386,,OK
2000,4,7,0.435748,,OK
2000,4,8,0.426343,,OK
2000,4,9,0.429195,,OK
2000,4,10,0.429482,,OK
2000,4,Average,0.430631,0.003982,OK
2000,5,1,0.352698,,OK
2000,5,2,0.342099,,OK
2000,5,3,0.342679,,OK
2000,5,4,0.350402,,OK
2000,5,5,0.341694,,OK
2000,5,6,0.344239,,OK
2000,5,7,0.349524,,OK
2000,5,8,0.341396,,OK
2000,5,9,0.342550,,OK
2000,5,10,0.345154,,OK
2000,5,Average,0.345244,0.003907,OK
