1, 1365.33, 0.649663
1, 1365.33, 0.649456
1, 1365.33, 0.649403
1, 1365.33, 0.649517
1, 1365.33, 0.649445
1, 1365.33, 0.649479
1, 1365.33, 0.649454
1, 1365.33, 0.649386
1, 1365.33, 0.649386
1, 1365.33, 0.649489
2, 1365.33, 0.324836
2, 1365.33, 0.324722
2, 1365.33, 0.324718
2, 1365.33, 0.324763
2, 1365.33, 0.324713
2, 1365.33, 0.32471
2, 1365.33, 0.324736
2, 1365.33, 0.324687
2, 1365.33, 0.324744
2, 1365.33, 0.324733
3, 1365.33, 0.2166
3, 1365.33, 0.216609
3, 1365.33, 0.216457
3, 1365.33, 0.216482
3, 1365.33, 0.216436
3, 1365.33, 0.216454
3, 1365.33, 0.216445
3, 1365.33, 0.216442
3, 1365.33, 0.216425
3, 1365.33, 0.216428
4, 1365.33, 0.162479
4, 1365.33, 0.162376
4, 1365.33, 0.16235
4, 1365.33, 0.162337
4, 1365.33, 0.162374
4, 1365.33, 0.162349
4, 1365.33, 0.162355
4, 1365.33, 0.162348
4, 1365.33, 0.162349
4, 1365.33, 0.162346
5, 1365.33, 0.129992
5, 1365.33, 0.129887
5, 1365.33, 0.129903
5, 1365.33, 0.129911
5, 1365.33, 0.129903
5, 1365.33, 0.129886
5, 1365.33, 0.129921
5, 1365.33, 0.129995
5, 1365.33, 0.129942
5, 1365.33, 0.129887
6, 1365.33, 0.10834
6, 1365.33, 0.108231
6, 1365.33, 0.108275
6, 1365.33, 0.108258
6, 1365.33, 0.108258
6, 1365.33, 0.108253
6, 1365.33, 0.108248
6, 1365.33, 0.108253
6, 1365.33, 0.108251
6, 1365.33, 0.108247
7, 1365.33, 0.092853
7, 1365.33, 0.092804
7, 1365.33, 0.092806
7, 1365.33, 0.092794
7, 1365.33, 0.092786
7, 1365.33, 0.092799
7, 1365.33, 0.092782
7, 1365.33, 0.092785
7, 1365.33, 0.092786
7, 1365.33, 0.09286
8, 1365.33, 0.0813
8, 1365.33, 0.081198
8, 1365.33, 0.081216
8, 1365.33, 0.081202
8, 1365.33, 0.081208
8, 1365.33, 0.081214
8, 1365.33, 0.081239
8, 1365.33, 0.081198
8, 1365.33, 0.081316
8, 1365.33, 0.081202
9, 1365.33, 0.081031
9, 1365.33, 0.072191
9, 1365.33, 0.072196
9, 1365.33, 0.072189
9, 1365.33, 0.072161
9, 1365.33, 0.072182
9, 1365.33, 0.072185
9, 1365.33, 0.072201
9, 1365.33, 0.072202
9, 1365.33, 0.07218
10, 1365.33, 0.066493
10, 1365.33, 0.064958
10, 1365.33, 0.065004
10, 1365.33, 0.064961
10, 1365.33, 0.064963
10, 1365.33, 0.065121
10, 1365.33, 0.064981
10, 1365.33, 0.065059
10, 1365.33, 0.065079
10, 1365.33, 0.064974
11, 1365.33, 0.076546
11, 1365.33, 0.061879
11, 1365.33, 0.060732
11, 1365.33, 0.060857
11, 1365.33, 0.060655
11, 1365.33, 0.060388
11, 1365.33, 0.060433
11, 1365.33, 0.061439
11, 1365.33, 0.062076
11, 1365.33, 0.063468
12, 1365.33, 0.071455
12, 1365.33, 0.058378
12, 1365.33, 0.069017
12, 1365.33, 0.071614
12, 1365.33, 0.071997
12, 1365.33, 0.068376
12, 1365.33, 0.060276
12, 1365.33, 0.056128
12, 1365.33, 0.054366
12, 1365.33, 0.054174
